step_num,time_s,y,y_delta,y_prev
0,0.0,1000.0,-0.00136,0.0
1,0.01667,999.99864,-0.00409,1000.0
2,0.03333,999.99455,-0.00681,999.99864
3,0.05,999.98774,-0.00954,999.99455
4,0.06667,999.9782,-0.01226,999.98774
5,0.08333,999.96594,-0.01499,999.9782
6,0.1,999.95095,-0.01772,999.96594
7,0.11667,999.93323,-0.02043,999.95095
8,0.13333,999.9128,-0.02316,999.93323
9,0.15,999.88964,-0.0259,999.9128
10,0.16667,999.86374,-0.0286,999.88964
11,0.18333,999.83514,-0.03134,999.86374
12,0.2,999.8038,-0.03407,999.83514
13,0.21667,999.76973,-0.03677,999.8038
14,0.23333,999.73296,-0.03952,999.76973
15,0.25,999.69344,-0.04225,999.73296
16,0.26667,999.65119,-0.04494,999.69344
17,0.28333,999.60625,-0.0477,999.65119
18,0.3,999.55855,-0.05042,999.60625
19,0.31667,999.50813,-0.05312,999.55855
20,0.33333,999.45501,-0.05587,999.50813
21,0.35,999.39914,-0.0586,999.45501
22,0.36667,999.34054,-0.06129,999.39914
23,0.38333,999.27925,-0.06405,999.34054
24,0.4,999.2152,-0.06678,999.27925
25,0.41667,999.14842,-0.06946,999.2152
26,0.43333,999.07896,-0.07222,999.14842
27,0.45,999.00674,-0.07496,999.07896
28,0.46667,998.93178,-0.07763,999.00674
29,0.48333,998.85415,-0.0804,998.93178
30,0.5,998.77375,-0.08313,998.85415
31,0.51667,998.69062,-0.0858,998.77375
32,0.53333,998.60482,-0.08858,998.69062
33,0.55,998.51624,-0.09131,998.60482
34,0.56667,998.42493,-0.09397,998.51624
35,0.58333,998.33096,-0.09676,998.42493
36,0.6,998.2342,-0.09948,998.33096
37,0.61667,998.13472,-0.10215,998.2342
38,0.63333,998.03257,-0.10493,998.13472
39,0.65,997.92764,-0.10766,998.03257
40,0.66667,997.81998,-0.11032,997.92764
41,0.68333,997.70966,-0.11311,997.81998
42,0.7,997.59655,-0.11584,997.70966
43,0.71667,997.48071,-0.11849,997.59655
44,0.73333,997.36222,-0.12128,997.48071
45,0.75,997.24094,-0.12402,997.36222
46,0.76667,997.11692,-0.12666,997.24094
47,0.78333,996.99026,-0.12946,997.11692
48,0.8,996.8608,-0.13219,996.99026
49,0.81667,996.72861,-0.13483,996.8608
50,0.83333,996.59378,-0.13764,996.72861
51,0.85,996.45614,-0.14037,996.59378
52,0.86667,996.31577,-0.143,996.45614
53,0.88333,996.17277,-0.14582,996.31577
54,0.9,996.02695,-0.14854,996.17277
55,0.91667,995.87841,-0.15118,996.02695
56,0.93333,995.72723,-0.15399,995.87841
57,0.95,995.57324,-0.15672,995.72723
58,0.96667,995.41652,-0.15935,995.57324
59,0.98333,995.25717,-0.16217,995.41652
60,1.0,995.095,-0.1649,995.25717
61,1.01667,994.9301,-0.16752,995.095
62,1.03333,994.76258,-0.17034,994.9301
63,1.05,994.59224,-0.17307,994.76258
64,1.06667,994.41917,-0.1757,994.59224
65,1.08333,994.24347,-0.17852,994.41917
66,1.1,994.06495,-0.18125,994.24347
67,1.11667,993.8837,-0.18386,994.06495
68,1.13333,993.69984,-0.1867,993.8837
69,1.15,993.51314,-0.18943,993.69984
70,1.16667,993.32371,-0.19203,993.51314
71,1.18333,993.13168,-0.19488,993.32371
72,1.2,992.9368,-0.1976,993.13168
73,1.21667,992.7392,-0.20021,992.9368
74,1.23333,992.53899,-0.20305,992.7392
75,1.25,992.33594,-0.20578,992.53899
76,1.26667,992.13016,-0.20838,992.33594
77,1.28333,991.92178,-0.21123,992.13016
78,1.3,991.71055,-0.21396,991.92178
79,1.31667,991.49659,-0.21655,991.71055
80,1.33333,991.28004,-0.2194,991.49659
81,1.35,991.06064,-0.22213,991.28004
82,1.36667,990.83851,-0.22473,991.06064
83,1.38333,990.61378,-0.22758,990.83851
84,1.4,990.3862,-0.23031,990.61378
85,1.41667,990.15589,-0.23289,990.3862
86,1.43333,989.923,-0.23576,990.15589
87,1.45,989.68724,-0.23849,989.923
88,1.46667,989.44875,-0.24106,989.68724
89,1.48333,989.20769,-0.24394,989.44875
90,1.5,988.96375,-0.24666,989.20769
91,1.51667,988.71709,-0.24924,988.96375
92,1.53333,988.46785,-0.25211,988.71709
93,1.55,988.21574,-0.25484,988.46785
94,1.56667,987.9609,-0.25741,988.21574
95,1.58333,987.70349,-0.26029,987.9609
96,1.6,987.4432,-0.26302,987.70349
97,1.61667,987.18018,-0.26558,987.4432
98,1.63333,986.9146,-0.26846,987.18018
99,1.65,986.64614,-0.27119,986.9146
100,1.66667,986.37495,-0.27376,986.64614
101,1.68333,986.10119,-0.27664,986.37495
102,1.7,985.82455,-0.27937,986.10119
103,1.71667,985.54518,-0.28192,985.82455
104,1.73333,985.26326,-0.28482,985.54518
105,1.75,984.97844,-0.28755,985.26326
106,1.76667,984.69089,-0.29009,984.97844
107,1.78333,984.4008,-0.293,984.69089
108,1.8,984.1078,-0.29572,984.4008
109,1.81667,983.81208,-0.29827,984.1078
110,1.83333,983.51381,-0.30117,983.81208
111,1.85,983.21264,-0.3039,983.51381
112,1.86667,982.90874,-0.30644,983.21264
113,1.88333,982.6023,-0.30935,982.90874
114,1.9,982.29295,-0.31208,982.6023
115,1.91667,981.98087,-0.31461,982.29295
116,1.93333,981.66626,-0.31752,981.98087
117,1.95,981.34874,-0.32025,981.66626
118,1.96667,981.02849,-0.32279,981.34874
119,1.98333,980.7057,-0.3257,981.02849
120,2.0,980.38,-0.32843,980.7057
121,2.01667,980.05157,-0.33095,980.38
122,2.03333,979.72062,-0.33388,980.05157
123,2.05,979.38674,-0.33661,979.72062
124,2.06667,979.05013,-0.33912,979.38674
125,2.08333,978.71101,-0.34206,979.05013
126,2.1,978.36895,-0.34478,978.71101
127,2.11667,978.02417,-0.3473,978.36895
128,2.13333,977.67687,-0.35023,978.02417
129,2.15,977.32664,-0.35296,977.67687
130,2.16667,976.97368,-0.35547,977.32664
131,2.18333,976.61821,-0.35841,976.97368
132,2.2,976.2598,-0.36113,976.61821
133,2.21667,975.89867,-0.36365,976.2598
134,2.23333,975.53502,-0.36658,975.89867
135,2.25,975.16844,-0.36931,975.53502
136,2.26667,974.79913,-0.37182,975.16844
137,2.28333,974.42731,-0.37476,974.79913
138,2.3,974.05255,-0.37749,974.42731
139,2.31667,973.67506,-0.37998,974.05255
140,2.33333,973.29508,-0.38294,973.67506
141,2.35,972.91214,-0.38567,973.29508
142,2.36667,972.52647,-0.38815,972.91214
143,2.38333,972.13832,-0.39112,972.52647
144,2.4,971.7472,-0.39384,972.13832
145,2.41667,971.35336,-0.39633,971.7472
146,2.43333,970.95703,-0.39929,971.35336
147,2.45,970.55774,-0.40202,970.95703
148,2.46667,970.15572,-0.4045,970.55774
149,2.48333,969.75122,-0.40747,970.15572
150,2.5,969.34375,-0.41019,969.75122
151,2.51667,968.93356,-0.41268,969.34375
152,2.53333,968.52088,-0.41564,968.93356
153,2.55,968.10524,-0.41837,968.52088
154,2.56667,967.68687,-0.42085,968.10524
155,2.58333,967.26602,-0.42382,967.68687
156,2.6,966.8422,-0.42655,967.26602
157,2.61667,966.41565,-0.42901,966.8422
158,2.63333,965.98664,-0.432,966.41565
159,2.65,965.55464,-0.43473,965.98664
160,2.66667,965.11991,-0.43718,965.55464
161,2.68333,964.68273,-0.44018,965.11991
162,2.7,964.24255,-0.4429,964.68273
163,2.71667,963.79965,-0.44536,964.24255
164,2.73333,963.35429,-0.44835,963.79965
165,2.75,962.90594,-0.45108,963.35429
166,2.76667,962.45486,-0.45353,962.90594
167,2.78333,962.00133,-0.45653,962.45486
168,2.8,961.5448,-0.45925,962.00133
169,2.81667,961.08555,-0.46171,961.5448
170,2.83333,960.62384,-0.4647,961.08555
171,2.85,960.15914,-0.46743,960.62384
172,2.86667,959.69171,-0.46988,960.15914
173,2.88333,959.22183,-0.47288,959.69171
174,2.9,958.74895,-0.47561,959.22183
175,2.91667,958.27334,-0.47804,958.74895
176,2.93333,957.7953,-0.48106,958.27334
177,2.95,957.31424,-0.48379,957.7953
178,2.96667,956.83045,-0.48621,957.31424
179,2.98333,956.34424,-0.48924,956.83045
180,3.0,955.855,-0.49196,956.34424
181,3.01667,955.36304,-0.49439,955.855
182,3.03333,954.86865,-0.49741,955.36304
183,3.05,954.37124,-0.50014,954.86865
184,3.06667,953.8711,-0.50256,954.37124
185,3.08333,953.36854,-0.50559,953.8711
186,3.1,952.86295,-0.50831,953.36854
187,3.11667,952.35464,-0.51074,952.86295
188,3.13333,951.8439,-0.51376,952.35464
